id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
4249,CA,Zero Emission Vehicle (ZEV) Production Requirements,"The California Air Resources Board (CARB) certifies new passenger cars,
light-duty trucks, and medium-duty passenger vehicles as ZEVs if the
vehicles produce zero exhaust emissions of any criteria pollutant (or
precursor pollutant) under all possible operational modes and
conditions. Manufacturers with annual sales between 4,501 and 60,000
vehicles may comply with the ZEV requirements through multiple
alternative compliance options that include producing low emission
vehicles and obtaining ZEV credits. Manufacturers with annual sales of
4,500 vehicles or less are not subject to this regulation.

CARB\'s emissions control program for MY 2017 through 2025 combines the
control of smog, soot, and greenhouse gases (GHGs) and requirements for
ZEVs into a single package of standards called Advanced Clean Cars. In
December 2012, CARB finalized new regulatory requirements that allow
vehicle manufacturer compliance with the U.S. Environmental Protection
Agency\'s GHG requirements for MY 2017-2025 to serve as compliance with
California\'s adopted GHG emissions requirements for those same model
years.

The accounting procedures for MY 2018-2025 are based on a credit system
as shown in the table below. The minimum ZEV requirement for each
manufacturer includes the percentage of passenger cars and light-duty
trucks produced by the manufacturer and delivered for sale in
California. The regulation also includes opportunities for compliance
with transitional zero emission vehicles, which must demonstrate certain
exhaust emissions standards, evaporative emissions standards, on-board
diagnostic requirements, and extended warranties.

MY

ZEV Requirement

2021

12%

2022

14.5%

2023

17%

2024

19.5%

2025 and later

22%

For more information, see the CARB [ZEV
Program](http://www.arb.ca.gov/msprog/zevprog/zevprog.htm) website.
(Reference [California Code of Regulations](http://www.oal.ca.gov/)
Title 13, Section 1962 -1962.2)
",ELEC,"<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Code of Regulations Title 13, Section 1962 -1962.2</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4272,CO,Alternative Fuel Vehicle (AFV) Weight Exemption,"Gross vehicle weight rating limits for AFVs are 2,000 pounds greater
than those for comparable conventional vehicles, as long as the AFVs
operate using an alternative fuel or both alternative and conventional
fuel, when operating on a highway that is not part of the interstate
system. For the purpose of this exemption, alternative fuel is defined
as compressed natural gas, propane, ethanol, or any mixture containing
85% or more ethanol (E85) with gasoline or other fuels, electricity, or
any other fuels, which may include clean diesel and reformulated
gasoline, so long as the Colorado Air Quality Control Commission
determines that these other fuels result in comparable reductions in
carbon monoxide emissions and brown cloud pollutants.

(Reference [Colorado Revised Statutes 42-4-508 and 24-30-1104 (2)(c)(III)(A)](http://www.lexisnexis.com/hottopics/michie/))",ELEC,"<a href = 'http://tornado.state.co.us/gov_dir/leg_dir/olls/digest_of_bills.htm' target = '_blank'>House Bill 16-1298, 2016</a>",<a href = 'http://www.lexisnexis.com/hottopics/michie/' target = '_blank'>Colorado Revised Statutes 42-4-508 and 24-30-1104 (2)(c)(III)(A)</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4323,DC,Alternative Fuel Vehicle Acquisition Requirements,"Fleets that operate at least 10 vehicles in the District of Columbia
must ensure that 70% of newly purchased vehicles with a gross vehicle
weight rating (GVWR) of 8,500 pounds (lbs.) or less and 50% of vehicles
with a GVWR between 8,500 lbs. and 26,000 lbs. are clean fuel vehicles.
For this requirement, a clean fuel is any fuel, including diesel,
ethanol (including E85), hydrogen, propane, natural gas, reformulated
gasoline, or other power source (including electricity) used in a clean
fuel vehicle that complies with standards and requirements applicable to
such vehicles. Certain exemptions apply. (Reference [District of
Columbia Code](https://code.dccouncil.us/dc/council/code/) 50-702 and
50-703)
",ELEC,<a href = 'https://code.dccouncil.us/dc/council/code/' target = '_blank'>District of Columbia Code 50-702 and 50-703</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4378,IL,Fleet User Fee Exemption,"Fleets with 10 or more vehicles located in defined areas of the state
must pay an annual fee of \$20 per vehicle in addition to registration
fees. Owners of electric vehicles are exempt from this fee. The Office
of the Illinois Secretary of State deposits all fees into the Electric
Vehicle Rebate Fund.

(Reference [Illinois Compiled Statutes 120/35](http://www.ilga.gov/legislation/ilcs/ilcs.asp))",ELEC,<a href = 'http://www.ilga.gov/legislation/ilcs/ilcs.asp' target = '_blank'>Illinois Compiled Statutes 120/35</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4413,IA,Alternative Fuel Vehicle Acquisition Requirements,"At least 10% of new vehicles purchased by institutions under the control
of the state fleet director, including the Iowa Department of
Transportation, Board of Directors of Community Colleges, Board of
Regents, Commission for the Blind, and Department of Corrections must be
capable of operating on alternative fuels. Alternative fuels include
E85, B20, natural gas, propane, and electricity. Vehicles and trucks
purchased and directly used for law enforcement and off-road maintenance
work are exempt from this requirement.

The state fleet must fuel diesel vehicles with biodiesel blends between
2% and 99%, and gasoline vehicles with ethanol blends between 15% and
85%. This requirement does not apply if such blends are not approved by
the U.S. Environmental Protection Agency or the vehicle manufacturer.
Additional exemptions apply. Vehicles that use the biodiesel and ethanol
blends must display a brightly colored, highly visible renewable fuel
sticker. Beginning July 1, 2023, and annually thereafter, the Iowa
Department of Administrative Services must publish a report detailing
the use of ethanol and biodiesel blends in state fleet vehicles.

(Reference [Iowa Code 89A.360, 8A.362, 8A.368, 216B.3, 260C.19A, 262.25A, 307.21 and 904.312A](https://www.legis.iowa.gov/index.aspx) and [House File 2128, 2022](https://www.legis.iowa.gov/index.aspx))",ELEC,"<a href = 'https://www.legis.iowa.gov/index.aspx' target = '_blank'>Iowa Code 89A.360, 8A.362, 8A.368, 216B.3, 260C.19A, 262.25A, 307.21 and 904.312A</a>","<a href = 'https://www.legis.iowa.gov/index.aspx' target = '_blank'>House File 2128, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4538,MO,Alternative Fuel Promotion,"The Missouri Alternative Fuels Commission (Commission) promotes the
continued production and use of alternative transportation fuels in
Missouri. The Commission submits a report annually to the governor and
general assembly that includes: - Recommendations on changes to state
law to facilitate the sale and distribution of alternative fuels and
alternative fuel vehicles (AFV); - Promotes the development, sale,
distribution, and consumption of alternative fuels; - Promotes the
development and use of AFVs and technology that will enhance the use of
alternative and renewable fuels; - Educates consumers about alternative
fuels; and, - Develops a long-range plan for the state to reduce
consumption of petroleum fuels.

For more information, see the [Missouri Alternative Fuels
Commission](http://boards.mo.gov/userpages/Board.aspx?211) website.

(Reference [Missouri Revised Statutes 414.420](https://revisor.mo.gov/main/Home.aspx))",ELEC,<a href = 'https://revisor.mo.gov/main/Home.aspx' target = '_blank'>Missouri Revised Statutes 414.420</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4605,NM,Alternative Fuel Vehicle (AFV) and Hybrid Electric Vehicle (HEV) Acquisition Requirements,"A minimum of 75% of state government and educational institution fleet
light-duty vehicles purchased must be HEVs or bi-fuel or dedicated AFVs.
Vehicles must meet or exceed the federal corporate average fuel economy
standards. Certified law enforcement pursuit vehicles and emergency
vehicles are exempt from this requirement. The New Mexico Energy,
Minerals and Natural Resources Department may grant additional
exemptions based on the availability and suitability of vehicles, as
well as fuel availability and cost.

(Reference [New Mexico
Statutes](https://nmonesource.com/nmos/nmsa/en/nav_date.do) 13-1B-1
through 13-1B-7)
",ELEC,<a href = 'http://www.nmonesource.com/nmnxtadmin/NMPublic.aspx' target = '_blank'>New Mexico Statutes 13-1B-1 through 13-1B-7</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4684,OR,Alternative Fuel Loans,"The Oregon Department of Energy administers the Small-Scale Local Energy
Loan Program which offers low-interest loans for qualifying projects.
Eligible alternative fuel projects include fuel production facilities,
dedicated feedstock production, fueling infrastructure, and fleet
vehicles. Loan recipients must complete a loan application and pay a
loan application fee. For more information, see the [Energy Loan
Program](https://www.oregon.gov/energy/incentives/pages/energy-loan-program.aspx)
website. (Reference [Oregon Revised
Statutes](https://www.oregonlegislature.gov/) 470)
",ELEC,<a href = 'http://www.leg.state.or.us/ors/home.htm' target = '_blank'>Oregon Revised Statutes 470</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4688,OR,Alternative Fuel Vehicle Acquisition and Fuel Use Requirements,"All state agencies must purchase or lease zero-emission vehicles (ZEVs),
including all-electric, plug-in hybrid electric, or hydrogen fuel cell
vehicles, for at least 25% of new state light-duty vehicles to the
maximum extent possible.

If ZEVs are not feasible, the state agency may purchase or lease AFVs
and use alternative fuels to operate those vehicles, except in regions
where it is not economically or logistically possible to fuel an AFV.
Each state agency must develop and report a greenhouse gas reduction
baseline and annual reduction targets to the Oregon Department of
Administrative Services (DAS). Reports to DAS must include the number of
purchases or leases of ZEVs, AFVs, and AFV conversions and the quantity
of each type of alternative fuel used annually by state agency fleets.
DAS published a
[plan](https://www.oregon.gov/gov/Documents/DAS-EO20-04-Report-915.pdf)
to reduce costs for state agency ZEV purchases in September 2020.

(Reference [Executive
Order](https://www.oregon.gov/gov/Pages/executive-orders.aspx) 20-04,
2020, and [Oregon Revised Statutes](https://www.oregonlegislature.gov/)
283.327, 283.337, and 267.030)
",ELEC,"<a href = 'http://governor.oregon.gov/Gov/exec_orders.shtml' target = '_blank'>Executive Order 06-02, 2006</a>",<a href = 'https://www.oregonlegislature.gov/' target = '_blank'>Oregon Revised Statutes 283.327 and 267.030</a>,"<a href = 'http://www.oregon.gov/gov/admin/pages/executive-orders.aspx' target = '_blank'>Executive Order 20-04, 2020</a>","<a href = 'http://www.oregon.gov/gov/admin/pages/executive-orders.aspx' target = '_blank'>Executive Order 17-21, 2017</a>",NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4780,VA,High Occupancy Vehicle (HOV) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the Virginia Clean Special
Fuel license plate may use Virginia HOV lanes on specified areas of
I-64, I-264, the Dulles Toll Road, and in the City of Alexandria,
regardless of the number of occupants. For HOV lanes serving the I-66
corridor, only registered vehicles displaying Clean Special Fuel license
plates issued before July 1, 2011, are exempt from HOV lane
requirements. Only dedicated AFVs are eligible; see the [Virginia
Department of Motor
Vehicles](http://www.dmv.state.va.us/webdoc/citizen/vehicles/cleanspecialfuel.asp)
website for a complete list of qualifying vehicles. The annual fee for
Clean Special Fuel license plates is \$25 in addition to the prescribed
fee for commonwealth license plates. This exemption expires September
30, 2025. For more information, see the Virginia Department of
Transportation [HOV
Lanes](http://www.virginiadot.org/travel/hov-default.asp) website.
(Reference [Virginia Code](http://lis.virginia.gov/000/src.htm) 33.2-501
and 46.2-749.3)
",ELEC,<a href = 'http://lis.virginia.gov/000/src.htm' target = '_blank'>Virginia Code 33.2-501 and 46.2-749.3</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
